ID,Title,Summary,Image Path,PDF Path
1,Beyond Active and Passive Investing: The Customization of Finance,"Explore the future of active and passive investing with insights on hyper-managed portfolios, blending both strategies for customized financial solutions",https://cfapublications.s3.amazonaws.com/assignment3/images/Beyond Active and Passive Investing_ The Customization of Finance.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Beyond Active and Passive Investing_ The Customization of Finance.pdf
2,Investment Model Validation: A Guide for Practitioners,"Because proactive model validation is critical for investment processes, this monograph offers a detailed overview of tools to help practitioners.",https://cfapublications.s3.amazonaws.com/assignment3/images/Investment Model Validation_ A Guide for Practitioners.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Investment Model Validation_ A Guide for Practitioners.pdf
3,The Economics of Private Equity: A Critical Review,"This literature review synthesizes the academic literature on private equity, focusing on its performance, value creation, and key aspects for investors.",https://cfapublications.s3.amazonaws.com/assignment3/images/The Economics of Private Equity_ A Critical Review.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Economics of Private Equity_ A Critical Review.pdf
4,"Investment Horizon, Serial Correlation, and Better (Retirement) Portfolios","Studying how serial dependence affects optimal portfolios, the authors find that optimal allocations vary materially across investment periods.",https://cfapublications.s3.amazonaws.com/assignment3/images/Investment Horizon_ Serial Correlation_ and Better (Retirement) Portfolios.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Investment Horizon_ Serial Correlation_ and Better (Retirement) Portfolios.pdf
5,Valuation Handbook — International Guide to Cost of Capital: 2023 Summary Edition,This guide will help practitioners evaluate investments and capital projects globally by providing a good understanding of the cost of capital.,https://cfapublications.s3.amazonaws.com/assignment3/images/Valuation Handbook _ International Guide to Cost of Capital_ 2023 Summary Edition.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Valuation Handbook _ International Guide to Cost of Capital_ 2023 Summary Edition.pdf
6,An Introduction to Alternative Credit,In this book practitioners introduce the key features of the alternative credit asset class.,https://cfapublications.s3.amazonaws.com/assignment3/images/An Introduction to Alternative Credit.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/An Introduction to Alternative Credit.pdf
7,Lifetime Financial Advice: A Personalized Optimal Multilevel Approach,"A practical, integrated three-stage model that incorporates life-cycle finance is proposed for financial planning.",https://cfapublications.s3.amazonaws.com/assignment3/images/Lifetime Financial Advice_ A Personalized Optimal Multilevel Approach.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Lifetime Financial Advice_ A Personalized Optimal Multilevel Approach.pdf
8,Revisiting the Equity Risk Premium,"Held once a decade since 2001, the Equity Risk Premium Forum gathers leading investment minds to discuss new ERP research and key trends.",https://cfapublications.s3.amazonaws.com/assignment3/images/Revisiting the Equity Risk Premium.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Revisiting the Equity Risk Premium.pdf
9,Handbook of Artificial Intelligence and Big Data Applications in Investments,Each chapter takes you on a well-guided tour of the development & application of specific AI & big data techniques & how they are being used by asset managers.,https://cfapublications.s3.amazonaws.com/assignment3/images/Handbook of Artificial Intelligence and Big Data Applications in Investments.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Handbook of Artificial Intelligence and Big Data Applications in Investments.pdf
10,Valuation Handbook — International Guide to Cost of Capital: 2022 Summary Edition,The cost of capital is the expected rate of return that the market requires to attract funds to an investment and is one of the most important concepts in finance. A good understanding of this is essential for making global investment decisions.,https://cfapublications.s3.amazonaws.com/assignment3/images/Valuation Handbook _ International Guide to Cost of Capital_ 2022 Summary Edition.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Valuation Handbook _ International Guide to Cost of Capital_ 2022 Summary Edition.pdf
